Alpha-2 code,Year,Total Livestock,Country,Alpha-3 code,Numeric
AL,2012 ,2925.87,Albania,ALB,8
LT,2012 ,1950.5,Lithuania,LTU,440
LU,2012 ,330.86,Luxembourg,LUX,442
LV,2012 ,996.51,Latvia,LVA,428
ME,2012 ,369.45,Montenegro,MNE,499
MK,2012 ,1258.0,Republic of North Macedonia,MKD,807
MT,2012 ,78.82,Malta,MLT,470
PL,2012 ,19217.14,Poland,POL,616
PT,2012 ,5849.929999999999,Portugal,PRT,620
RO,2012 ,17239.899999999998,Romania,ROU,642
RS,2012 ,6150.0,Serbia,SRB,688
SE,2012 ,3873.34,Sweden,SWE,752
SI,2012 ,976.59,Slovenia,SVN,705
SK,2012 ,1661.88,Slovakia,SVK,703
TR,2012 ,46834.770000000004,Turkey,TUR,792
GB,2012 ,38742.0,United Kingdom of Great Britain and Northern Ireland (the),GBR,826
IT,2012 ,23938.260000000002,Italy,ITA,380
IS,2012 ,608.0,Iceland,ISL,352
NL,2012 ,18723.0,Netherlands (the),NLD,528
HU,2012 ,5189.0,Hungary,HUN,348
IE,2012 ,12237.32,Ireland,IRL,372
AT,2012 ,5826.8,Austria,AUT,40
BA,2012 ,2206.0,Bosnia and Herzegovina,BIH,70
BE,2012 ,9508.73,Belgium,BEL,56
BG,2012 ,2722.31,Bulgaria,BGR,100
CY,2012 ,823.17,Cyprus,CYP,196
CZ,2012 ,3440.43,Czechia,CZE,203
DE,2012 ,46669.68,Germany,DEU,276
CH,2012 ,5449.37,Switzerland,CHE,756
EE,2012 ,803.8000000000001,Estonia,EST,233
GR,2012 ,11074.0,Greece,GRC,300
ES,2012 ,48229.57,Spain,ESP,724
FI,2012 ,2606.96,Finland,FIN,246
FR,2012 ,43927.0,France,FRA,250
HR,2012 ,2494.0,Croatia,HRV,191
DK,2012 ,14611.95,Denmark,DNK,208
LT,2013 ,1883.4,Lithuania,LTU,440
NL,2013 ,18774.0,Netherlands (the),NLD,528
LU,2013 ,345.01,Luxembourg,LUX,442
LV,2013 ,1023.89,Latvia,LVA,428
ME,2013 ,362.0,Montenegro,MNE,499
MK,2013 ,1266.0,Republic of North Macedonia,MKD,807
MT,2013 ,81.93,Malta,MLT,470
PL,2013 ,19102.423333333332,Poland,POL,616
GB,2013 ,37909.0,United Kingdom of Great Britain and Northern Ireland (the),GBR,826
RO,2013 ,17507.100000000002,Romania,ROU,642
RS,2013 ,6102.0,Serbia,SRB,688
SE,2013 ,3846.81,Sweden,SWE,752
SI,2013 ,967.9100000000001,Slovenia,SVN,705
SK,2013 ,1649.78,Slovakia,SVK,703
TR,2013 ,49381.89,Turkey,TUR,792
IT,2013 ,24066.940000000002,Italy,ITA,380
PT,2013 ,5789.37,Portugal,PRT,620
IS,2013 ,608.8000000000001,Iceland,ISL,352
