Year,Total Livestock,Alpha-3 code
2012 ,2925.87,ALB
2012 ,1950.5,LTU
2012 ,330.86,LUX
2012 ,996.51,LVA
2012 ,369.45,MNE
2012 ,1258.0,MKD
2012 ,78.82,MLT
2012 ,19217.14,POL
2012 ,5849.929999999999,PRT
2012 ,17239.899999999998,ROU
2012 ,6150.0,SRB
2012 ,3873.34,SWE
2012 ,976.59,SVN
2012 ,1661.88,SVK
2012 ,46834.770000000004,TUR
2012 ,38742.0,GBR
2012 ,23938.260000000002,ITA
2012 ,608.0,ISL
2012 ,18723.0,NLD
2012 ,5189.0,HUN
2012 ,12237.32,IRL
2012 ,5826.8,AUT
2012 ,2206.0,BIH
2012 ,9508.73,BEL
2012 ,2722.31,BGR
2012 ,823.17,CYP
2012 ,3440.43,CZE
2012 ,46669.68,DEU
2012 ,5449.37,CHE
2012 ,803.8000000000001,EST
2012 ,11074.0,GRC
2012 ,48229.57,ESP
2012 ,2606.96,FIN
2012 ,43927.0,FRA
2012 ,2494.0,HRV
2012 ,14611.95,DNK
2013 ,1883.4,LTU
2013 ,18774.0,NLD
2013 ,345.01,LUX
2013 ,1023.89,LVA
2013 ,362.0,MNE
2013 ,1266.0,MKD
2013 ,81.93,MLT
2013 ,19102.423333333332,POL
2013 ,37909.0,GBR
2013 ,17507.100000000002,ROU
2013 ,6102.0,SRB
2013 ,3846.81,SWE
2013 ,967.9100000000001,SVN
2013 ,1649.78,SVK
2013 ,49381.89,TUR
2013 ,24066.940000000002,ITA
2013 ,5789.37,PRT
2013 ,608.8000000000001,ISL
2013 ,46656.82,DEU
2013 ,5250.0,HUN
2013 ,12184.69,IRL
2013 ,5741.12,AUT
2013 ,2219.0,BIH
2013 ,9308.59,BEL
2013 ,2854.8,BGR
2013 ,5390.08,CHE
2013 ,753.93,CYP
2013 ,3473.59,CZE
2013 ,2925.87,ALB
2013 ,14696.95,DNK
2013 ,803.9,EST
2013 ,11170.0,GRC
2013 ,48259.590000000004,ESP
2013 ,2598.87,FIN
2013 ,43415.25,FRA
2013 ,2340.0,HRV
2014 ,1888.7,LTU
2014 ,349.57,LUX
2014 ,1029.8600000000001,LVA
2014 ,383.0,MNE
2014 ,1274.0,MKD
2014 ,79.38,MLT
2014 ,19394.016666666666,POL
2014 ,3827.34,SWE
2014 ,17817.2,ROU
2014 ,6341.0,SRB
2014 ,24036.93,ITA
2014 ,967.1800000000001,SVN
2014 ,1641.6000000000001,SVK
2014 ,50891.48,TUR
2014 ,38773.0,GBR
2014 ,5941.969999999999,PRT
2014 ,609.5333333333333,ISL
2014 ,18914.0,NLD
2014 ,5378.0,HUN
2014 ,5716.22,AUT
2014 ,2218.0,BIH
2014 ,9405.279999999999,BEL
2014 ,2752.46,BGR
2014 ,5403.67,CHE
2014 ,719.92,CYP
2014 ,3570.81,CZE
2014 ,46977.64,DEU
2014 ,2925.87,ALB
2014 ,14953.95,DNK
2014 ,804.1,EST
2014 ,10912.0,GRC
2014 ,48922.93,ESP
2014 ,2568.1099999999997,FIN
2014 ,43377.81,FRA
2014 ,2361.0,HRV
2014 ,12201.33,IRL
2015 ,1858.0,LTU
2015 ,347.21999999999997,LUX
2015 ,1017.93,LVA
2015 ,375.0,MNE
2015 ,1306.0,MKD
2015 ,76.10000000000001,MLT
2015 ,19517.0,NLD
2015 ,6419.0,SRB
2015 ,6139.0599999999995,PRT
2015 ,18019.5,ROU
2015 ,3795.23,SWE
2015 ,977.83,SVN
2015 ,1611.22,SVK
2015 ,51146.78,TUR
2015 ,24035.940000000002,ITA
2015 ,18707.99,POL
2015 ,612.4666666666667,ISL
2015 ,39259.0,GBR
2015 ,5385.0,HUN
2015 ,2958.73,ALB
2015 ,5690.87,AUT
2015 ,2256.0,BIH
2015 ,9513.52,BEL
2015 ,2775.96,BGR
2015 ,5399.4800000000005,CHE
2015 ,739.97,CYP
2015 ,3509.28,CZE
2015 ,12461.5,IRL
2015 ,14982.95,DNK
2015 ,737.2,EST
2015 ,10422.0,GRC
2015 ,51420.73,ESP
2015 ,2579.84,FIN
2015 ,43387.54,FRA
2015 ,2368.0,HRV
2015 ,46152.31,DEU
2016 ,24138.16,ITA
2016 ,1808.1,LTU
2016 ,358.7425,LUX
2016 ,1009.35,LVA
2016 ,395.6,MNE
2016 ,1306.0,MKD
2016 ,72.98,MLT
2016 ,19009.0,NLD
2016 ,6005.0,SRB
2016 ,6273.599999999999,PRT
2016 ,17825.5,ROU
2016 ,3776.74,SWE
2016 ,971.8025,SVN
2016 ,1533.46,SVK
2016 ,50614.33,TUR
2016 ,617.2,ISL
2016 ,19439.8275,POL
2016 ,39913.0,GBR
2016 ,12874.72,IRL
2016 ,2373.0,HRV
2016 ,5144.0,HUN
