Country,Animal,Year,Value,Log_Value
AL,Pigs,2014 ,172.4,7.429615964201735
AL,Sheep,2014 ,1896.0,10.888743248898258
AL,Bovines,2014 ,499.69,8.964889536336084
AL,DairyCows,2014 ,357.78,8.482928932370601
AL,Pigs,2015 ,177.44,7.471187460386985
AL,Sheep,2015 ,1918.0,10.905387005018131
AL,Bovines,2015 ,505.77,8.982337655137256
AL,DairyCows,2015 ,357.52,8.481880139620285
AL,Pigs,2016 ,183.62,7.520579396289891
AL,Sheep,2016 ,1971.93,10.945392624184555
AL,Bovines,2016 ,496.99,8.957073013201017
AL,DairyCows,2016 ,353.05,8.46372870653983
AL,Pigs,2017 ,180.09,7.492574263573329
AL,Sheep,2017 ,1925.51,10.9110249003511
AL,Bovines,2017 ,475.22,8.892451744123925
AL,DairyCows,2017 ,346.41,8.436336767478426
AL,Pigs,2018 ,184.13,7.524580891558665
AL,Sheep,2018 ,1863.84,10.86406230285491
AL,Bovines,2018 ,467.32,8.868266971645479
AL,DairyCows,2018 ,339.94,8.40913632042844
AL,Pigs,2019 ,183.85,7.522385366315934
AL,Sheep,2019 ,1758.33,10.77999014279126
AL,Bovines,2019 ,415.61,8.699086557146888
AL,DairyCows,2019 ,313.89,8.294115257623663
AL,Pigs,2020 ,158.4,7.307428525192248
AL,Sheep,2020 ,1557.86,10.605349873401215
AL,Bovines,2020 ,362.58,8.502155537646102
AL,DairyCows,2020 ,287.17,8.165761231721643
AL,Pigs,2021 ,159.24,7.3150589663166246
AL,Sheep,2021 ,1480.45,10.531820051118011
AL,Bovines,2021 ,336.78,8.39566265490837
AL,DairyCows,2021 ,275.58,8.106327379167375
AL,Pigs,2022 ,137.3,7.101187815259738
AL,Sheep,2022 ,1371.7,10.421749273579605
AL,Bovines,2022 ,297.66,8.21752155283911
AL,DairyCows,2022 ,260.96,8.02768487693716
AT,Pigs,2012 ,2983.16,11.542625642494846
AT,Sheep,2012 ,364.65,8.510368583862522
AT,Bovines,2012 ,1955.62,10.933410349545644
AT,DairyCows,2012 ,523.37,9.031687420061226
AT,Pigs,2013 ,2895.84,11.499766177972939
AT,Sheep,2013 ,357.44,8.48155728070859
AT,Bovines,2013 ,1958.28,10.935371344665406
AT,DairyCows,2013 ,529.56,9.048650342922418
AT,Pigs,2014 ,2868.19,11.485924881567472
AT,Sheep,2014 ,349.09,8.447455219947994
AT,Bovines,2014 ,1961.2,10.937520951398323
AT,DairyCows,2014 ,537.74,9.070764980813944
AT,Pigs,2015 ,2845.45,11.47444111344354
AT,Sheep,2015 ,353.71,8.466423196900832
AT,Bovines,2015 ,1957.61,10.934877660886327
AT,DairyCows,2015 ,534.1,9.060966074004773
AT,Pigs,2016 ,2792.8,11.447496546665391
AT,Sheep,2016 ,378.38,8.56369202405624
AT,Bovines,2016 ,1954.39,10.932502671581226
AT,DairyCows,2016 ,539.87,9.076468239764822
AT,Pigs,2017 ,2820.08,11.461520374224525
AT,Sheep,2017 ,401.48,8.649184310470007
AT,Bovines,2017 ,1943.48,10.924426545902726
AT,DairyCows,2017 ,543.42,9.085923853181212
AT,Pigs,2018 ,2776.57,11.43908805277968
AT,Sheep,2018 ,406.34,8.66654357984501
AT,Bovines,2018 ,1912.81,10.901477862124922
AT,DairyCows,2018 ,532.87,9.057639803001146
AT,Pigs,2019 ,2773.23,11.4373515570435
AT,Sheep,2019 ,402.66,8.653418352726707
AT,Bovines,2019 ,1879.52,10.876148551863873
AT,DairyCows,2019 ,524.07,9.033615715102409
AT,Pigs,2020 ,2806.46,11.454535781619919
AT,Sheep,2020 ,393.76,8.621172752683435
AT,Bovines,2020 ,1855.43,10.857537858018818
AT,DairyCows,2020 ,524.78,9.035568927926912
AT,Pigs,2021 ,2785.59,11.443767213636692
AT,Sheep,2021 ,402.35,8.652307222467995
AT,Bovines,2021 ,1870.1,10.86889970217968
AT,DairyCows,2021 ,526.46,9.04018011040107
AT,Pigs,2022 ,2650.15,11.371858304010269
AT,Sheep,2022 ,400.66,8.646234674881153
AT,Bovines,2022 ,1861.07,10.861916604838092
AT,DairyCows,2022 ,550.55,9.104729782585927
AT,Pigs,2023 ,2516.46,11.297179950543683
AT,Sheep,2023 ,391.87,8.614231319979739
AT,Bovines,2023 ,1835.47,10.841933819036933
AT,DairyCows,2023 ,543.03,9.08488809251093
BA,Pigs,2012 ,539.0,9.074141462752506
BA,Sheep,2012 ,1004.0,9.971543553950772
BA,Bovines,2012 ,446.0,8.800899899920305
BA,DairyCows,2012 ,217.0,7.7615512324444795
BA,Pigs,2013 ,530.0,9.049848549450562
BA,Sheep,2013 ,1020.0,9.994353436858859
BA,Bovines,2013 ,447.0,8.804131021183318
BA,DairyCows,2013 ,222.0,7.794415866350106
BA,Pigs,2014 ,533.0,9.057991722759176
BA,Sheep,2014 ,1025.0,10.001408194392809
BA,Bovines,2014 ,444.0,8.794415866350105
BA,DairyCows,2014 ,216.0,7.754887502163468
BA,Pigs,2015 ,564.0,9.139551352398794
BA,Sheep,2015 ,1020.0,9.994353436858859
BA,Bovines,2015 ,455.0,8.829722735086058
BA,DairyCows,2015 ,217.0,7.7615512324444795
BA,Pigs,2016 ,545.0,9.090112419664289
BA,Sheep,2016 ,1016.0,9.988684686772165
BA,Bovines,2016 ,455.0,8.829722735086058
BA,DairyCows,2016 ,215.0,7.7481928495894605
BA,Pigs,2017 ,548.0,9.098032082960527
BA,Sheep,2017 ,1017.0,9.9901039638575
BA,Bovines,2017 ,445.0,8.79766152585376
BA,DairyCows,2017 ,206.0,7.6865005271832185
BA,Pigs,2018 ,542.0,9.08214904135387
BA,Sheep,2018 ,1012.0,9.98299357469431
BA,Bovines,2018 ,438.0,8.774787059601174
BA,DairyCows,2018 ,200.0,7.643856189774724
BA,Pigs,2019 ,543.0,9.084808387804362
BA,Sheep,2019 ,1013.0,9.984418458801137
BA,Bovines,2019 ,430.0,8.74819284958946
BA,DairyCows,2019 ,193.0,7.592457037268081
BA,Pigs,2020 ,547.0,9.095397022792557
BA,Sheep,2020 ,1014.0,9.985841937003341
BA,Bovines,2020 ,427.0,8.73809225962049
BA,DairyCows,2020 ,191.0,7.577428828035749
BA,Pigs,2021 ,569.62,9.153855991616721
BA,Sheep,2021 ,1034.81,10.015150185506599
BA,Bovines,2021 ,339.51,8.40731025831819
BA,DairyCows,2021 ,147.44,7.203984165855989
BA,Pigs,2022 ,471.55,8.881266942493902
BA,Sheep,2022 ,997.05,9.961522044391485
BA,Bovines,2022 ,339.15,8.405779682585322
BA,DairyCows,2022 ,148.52,7.2145134100800155
BE,Pigs,2012 ,6447.75,12.654580091686718
BE,Sheep,2012 ,119.26,6.897966431649445
BE,Bovines,2012 ,2438.18,11.25158892231891
BE,DairyCows,2012 ,503.54,8.975962576764463
BE,Pigs,2013 ,6351.28,12.63283165820962
BE,Sheep,2013 ,0.0,-inf
BE,Bovines,2013 ,2441.32,11.25344569578082
BE,DairyCows,2013 ,515.99,9.01119929594611
BE,Pigs,2014 ,6350.29,12.632606761902569
BE,Bovines,2014 ,2477.24,11.274517931218396
BE,DairyCows,2014 ,519.09,9.019840884999416
BE,Pigs,2015 ,6364.16,12.63575439127776
BE,Sheep,2015 ,117.32,6.874305165982231
BE,Bovines,2015 ,2503.26,11.289592428357178
BE,DairyCows,2015 ,528.78,9.046523800723053
BE,Pigs,2016 ,6176.58,12.59259251716367
BE,Bovines,2016 ,2501.35,11.288491224602286
BE,DairyCows,2016 ,530.59,9.051453675204959
BE,Pigs,2017 ,6108.08,12.576503242482419
BE,Bovines,2017 ,2385.99,11.220372281181966
BE,DairyCows,2017 ,519.16,9.020035421292246
BE,Pigs,2018 ,6209.13,12.60017542225204
BE,Bovines,2018 ,2398.09,11.227670088584016
BE,DairyCows,2018 ,529.25,9.047805554007589
BE,Pigs,2019 ,6085.1,12.57106525644557
BE,Sheep,2019 ,117.32,6.874305165982231
BE,Bovines,2019 ,2373.1,11.21255718016418
BE,DairyCows,2019 ,537.96,9.07135509499712
BE,Pigs,2020 ,6218.27,12.602297545150035
BE,Bovines,2020 ,2335.44,11.189478665867684
BE,DairyCows,2020 ,537.94,9.071301458226378
BE,Pigs,2021 ,6042.15,12.560846284942759
BE,Bovines,2021 ,2310.44,11.173951909190812
BE,DairyCows,2021 ,537.25,9.069449767427784
BE,Pigs,2022 ,5751.18,12.489642276457037
BE,Sheep,2022 ,110.12,6.782932704820836
BE,Bovines,2022 ,2286.11,11.158679107565513
BE,DairyCows,2022 ,543.68,9.086613947409496
BE,Pigs,2023 ,5404.14,12.399849334360749
BE,Bovines,2023 ,2235.65,11.126478630809336
BE,DairyCows,2023 ,534.39,9.06174920079516
BG,Pigs,2012 ,530.95,9.052432197417275
BG,Sheep,2012 ,1361.55,10.411034247893983
BG,Bovines,2012 ,535.32,9.064257743720006
BG,DairyCows,2012 ,294.49,8.202074835051668
BG,Pigs,2013 ,586.42,9.195790497558825
BG,Sheep,2013 ,1369.58,10.419517823967425
BG,Bovines,2013 ,585.55,9.193648557208594
